Date,Open,High,Low,Close,Adj Close,Volume
5/2/14,310.420013,313.290009,304.309998,308.01001,308.01001,3995100
5/5/14,306.369995,310.230011,305,310.049988,310.049988,2519900
5/6/14,309.529999,309.809998,297.040009,297.380005,297.380005,4682300
5/7/14,295.559998,296.399994,286.679993,292.709991,292.709991,7015200
5/8/14,290.820007,295.880005,287.230011,288.320007,288.320007,3848200
5/9/14,290.570007,293.679993,284.380005,292.23999,292.23999,4063000
5/12/14,294.299988,303.339996,294.160004,302.859985,302.859985,3729600
5/13/14,302.600006,305.600006,300.75,304.640015,304.640015,3509900
5/14/14,302.5,304.640015,296.660004,297.619995,297.619995,3323300
5/15/14,298.019989,299.200012,290.380005,295.190002,295.190002,4295100
5/16/14,292.799988,298.880005,291.549988,297.700012,297.700012,3636800
5/19/14,295.76001,299,293.809998,296.76001,296.76001,2284200
5/20/14,297.100006,304.459991,296.75,301.190002,301.190002,4095700
5/21/14,302.209991,305.959991,301.519989,305.01001,305.01001,3408800
5/22/14,305.049988,308.540009,303.01001,304.910004,304.910004,2576800
5/23/14,305.459991,312.350006,304.899994,312.23999,312.23999,3052900
5/27/14,314.410004,314.630005,307.380005,310.820007,310.820007,4862100
5/28/14,309.5,313.820007,307.420013,310.160004,310.160004,2726000
5/29/14,310.420013,314.869995,310.200012,313.779999,313.779999,2365500
5/30/14,314.429993,314.649994,307.570007,312.549988,312.549988,4260200
6/2/14,312.589996,312.600006,307,308.839996,308.839996,2203400
6/3/14,305.75,307.920013,305.070007,307.190002,307.190002,2379200
6/4/14,306.850006,309.5,303.839996,306.779999,306.779999,2107100
6/5/14,308.100006,327.940002,306.899994,323.570007,323.570007,7796700
6/6/14,325,330.880005,324.929993,329.670013,329.670013,5244000
6/9/14,331.570007,333,325.649994,327.5,327.5,3212200
6/10/14,327.649994,335.5,327.5,332.410004,332.410004,3663400
6/11/14,336,340.720001,333.880005,335.200012,335.200012,4436800
6/12/14,335.549988,335.549988,324.660004,325.910004,325.910004,4276300
6/13/14,327.049988,329.299988,323.529999,326.269989,326.269989,2764800
6/16/14,324.859985,328.690002,323.519989,327.619995,327.619995,2449800
6/17/14,327.540009,331.339996,325.230011,325.619995,325.619995,2924100
6/18/14,328,335.75,325,334.380005,334.380005,6401500
6/19/14,335.26001,338.899994,325.980011,327,327,5320600
6/20/14,327.76001,328.220001,320.420013,324.200012,324.200012,6054000
6/23/14,323.329987,327.549988,321.410004,327.23999,327.23999,2604800
6/24/14,327.540009,329.730011,322.73999,324.160004,324.160004,2626600
6/25/14,324.329987,328.149994,321.73999,327.440002,327.440002,2327800
6/26/14,328.48999,328.649994,322.130005,325.690002,325.690002,2699500
6/27/14,325.880005,326.519989,323.269989,324.570007,324.570007,2416200
6/30/14,324.980011,326.980011,322.23999,324.779999,324.779999,2671300
7/1/14,325.859985,333.200012,325.100006,332.390015,332.390015,3173600
7/2/14,333.200012,336.76001,331.660004,332.850006,332.850006,2681300
7/3/14,334.829987,338.299988,333.079987,337.48999,337.48999,1944300
7/7/14,337.5,337.549988,332.519989,333.549988,333.549988,2128900
7/8/14,333.100006,333.73999,321.399994,323.809998,323.809998,4271600
7/9/14,324.709991,330.200012,323.149994,329.970001,329.970001,3166100
7/10/14,324.339996,329.980011,322.649994,327.920013,327.920013,2665000
7/11/14,334.709991,347,334.709991,346.200012,346.200012,8300800
7/14/14,347.029999,355.769989,345.359985,355.320007,355.320007,5609900
7/15/14,353.720001,355.589996,349.399994,354.440002,354.440002,4170900
7/16/14,355.619995,359.320007,353,355.899994,355.899994,3503600
